entry,run,property,t0,g,Neff_max
25,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Box Volume (nm^3),38,8.761396,680.59924
25,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Density (g/mL),38,8.769888,679.94025
25,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Speed (ns/day),0,1.0,6001.0
26,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),117,9.194117,639.9745
26,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Kinetic Energy (kJ/mole),0,1.0853962,5528.857
26,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Total Energy (kJ/mole),75,8.216402,721.2403
26,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Temperature (K),0,1.0853962,5528.857
26,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Box Volume (nm^3),104,5.41801,1088.407
26,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Density (g/mL),104,5.4199734,1088.0127
26,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Speed (ns/day),0,1.0,6001.0
27,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),0,1.7469449,3435.14
27,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Kinetic Energy (kJ/mole),24,1.2220289,4891.0464
27,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Total Energy (kJ/mole),0,1.5991989,3752.5037
27,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Temperature (K),24,1.2220289,4891.0464
27,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Box Volume (nm^3),7,2.793548,2145.6584
27,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Density (g/mL),7,2.7941039,2145.2317
27,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Speed (ns/day),2039,1.0,3962.0
28,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),38,1.8422477,3236.807
28,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Kinetic Energy (kJ/mole),5,1.1336949,5288.901
28,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Total Energy (kJ/mole),0,1.6819303,3567.9243
28,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Temperature (K),5,1.1336949,5288.901
28,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Box Volume (nm^3),11,3.8090112,1572.5865
28,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Density (g/mL),11,3.8092241,1572.4987
28,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Speed (ns/day),2,1.0,5999.0
